Code;Property;Floor;Space.Space number;Name;Workspace;Start date-time;Flexgroup;Ordergroup
0.14-04;W6;00;W6-0.14;Flexible workspace;WS_0.14-04;2020-11-27;;01
0.14-03;W6;00;W6-0.14;Flexible workspace;WS_0.14-03;2020-11-27;;01
0.14-01;W6;00;W6-0.14;Flexible workspace;WS_0.14-01;2020-11-27;;01
0.14-02;W6;00;W6-0.14;Flexible workspace;WS_0.14-02;2020-11-27;;01
0.12-03;W6;00;W6-0.12;Flexible workspace;WS_0.12-03;2020-11-27;;01
0.12-11;W6;00;W6-0.12;Flexible workspace;WS_0.12-11;2020-11-27;;01
0.12-12;W6;00;W6-0.12;Flexible workspace;WS_0.12-12;2020-11-27;;01
0.12-06;W6;00;W6-0.12;Flexible workspace;WS_0.12-06;2020-11-27;;01
0.12-01;W6;00;W6-0.12;Flexible workspace;WS_0.12-01;2020-11-27;;01
0.12-02;W6;00;W6-0.12;Flexible workspace;WS_0.12-02;2020-11-27;;01
2.06-03;W6;02;W6-2.06;Flexible workspace;WS_2.06-03;2020-11-27;;01
2.06-01;W6;02;W6-2.06;Flexible workspace;WS_2.06-01;2020-11-27;;01
2.06-04;W6;02;W6-2.06;Flexible workspace;WS_2.06-04;2020-11-27;;01
2.06-02;W6;02;W6-2.06;Flexible workspace;WS_2.06-02;2020-11-27;;01
2.06-08;W6;02;W6-2.06;Flexible workspace;WS_2.06-08;2020-11-27;;01
2.06-06;W6;02;W6-2.06;Flexible workspace;WS_2.06-06;2020-11-27;;01
2.06-07;W6;02;W6-2.06;Flexible workspace;WS_2.06-07;2020-11-27;;01
2.06-05;W6;02;W6-2.06;Flexible workspace;WS_2.06-05;2020-11-27;;01
2.06-09;W6;02;W6-2.06;Flexible workspace;WS_2.06-09;2020-11-27;;01
2.06-14;W6;02;W6-2.06;Flexible workspace;WS_2.06-14;2020-11-27;;01
2.06-12;W6;02;W6-2.06;Flexible workspace;WS_2.06-12;2020-11-27;;01
2.06-13;W6;02;W6-2.06;Flexible workspace;WS_2.06-13;2020-11-27;;01
2.06-11;W6;02;W6-2.06;Flexible workspace;WS_2.06-11;2020-11-27;;01
2.06-16;W6;02;W6-2.06;Flexible workspace;WS_2.06-16;2020-11-27;;01
2.06-15;W6;02;W6-2.06;Flexible workspace;WS_2.06-15;2020-11-27;;01
